scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
154075,Edelweiss Silver ETF Fund of Fund - Regular Plan Growth Option,Edelweiss Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154077,Axis Gold and Silver Passive FOF - Regular Plan - Growth,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154090,DSP Nifty 500 Index Fund - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154095,Bank of India Banking & Financial Services Fund - Regular Plan - Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154107,Edelweiss Financial Services Fund - Regular Plan - Growth Option,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154113,Motilal Oswal Diversified Equity Flexicap Passive Fund of funds- Regular Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154120,Mahindra Manulife Innovation Opportunities Fund - Regular - Growth,Mahindra Manulife Investment Management Pvt Ltd,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154127,Sundaram Income Plus Arbitrage Active FoF Fund-Regular-Growth,Sundaram Asset Management Company Ltd,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154130,Bandhan Gold ETF FOF-Regular-Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154133,THE WEALTH COMPANY GOLD ETF FOF REGULAR GROWTH,Wealth Company Asset Management Holdings Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154135,Bandhan Silver ETF FOF-Regular-Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154137,Motilal Oswal Financial Services Fund- Regular-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154143,Shriram Money Market Fund - Regular Plan Growth Option,Shriram Asset Management Co. Ltd.,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
154148,Kotak Nifty200 Value 30 Index Fund - Regular - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154151,Kotak Services Fund - Regular - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154154,Parag Parikh Large Cap Fund - Regular Plan - Growth,PPFAS Asset Management Pvt. Ltd.,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
154159,ITI Business Cycle Fund- Regular Plan- Growth,ITI Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154162,WhiteOak Capital Consumption Opportunities Fund Regular Plan Growth,WhiteOak Capital Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154173,Groww Nifty PSE ETF FOF Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154165,DSP Multi Asset Omni Fund of Funds - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154170,Axis BSE India Sectors Leaders Index Fund- Regular Plan- Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154175,SBI Quality Fund - Regular Plan - Growth,SBI Funds Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154180,HDFC Nifty India Consumption Index  Fund - Regular Growth Plan,HDFC Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154189,Mirae Asset BSE India Defence ETF FOF - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154194,Baroda BNP Paribas Best-in-Class Strategy Fund - Regular - Growth Option,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154198,UTI Nifty500 Shariah Index Fund - Regular Plan Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154223,Groww BSE Hospitals ETF FOF Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154203,Bajaj Finserv Low Duration Fund - Regular - Growth,Bajaj Finserv Asset Management Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
154207,ANGEL ONE SILVER ETF FOF -REGULAR GROWTH,Angel One Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154209,Edelweiss Gold ETF Fund of Fund Regular Plan Growth Option,Edelweiss Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154211,TRUSTMF MID CAP FUND -REGULAR-GROWTH,Trust Asset Management Private Limited,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
